,year,season,temp
207,1951,Summer,19.19 
208,1951,Autumn,9.01 
209,1952,Winter,-2.68 
210,1952,Spring,6.88 
211,1952,Summer,20.70 
212,1952,Autumn,9.42 
213,1953,Winter,-1.11 
214,1953,Spring,7.95 
215,1953,Summer,19.82 
216,1953,Autumn,10.69 
217,1954,Winter,-3.32 
218,1954,Spring,7.04 
219,1954,Summer,18.81 
220,1954,Autumn,9.94 
221,1955,Winter,-5.13 
222,1955,Spring,7.87 
223,1955,Summer,20.94 
224,1955,Autumn,9.14 
225,1956,Winter,-2.83 
226,1956,Spring,4.45 
227,1956,Summer,19.27 
228,1956,Autumn,8.89 
229,1957,Winter,-3.51 
230,1957,Spring,7.80 
231,1957,Summer,19.61 
232,1957,Autumn,10.14 
233,1958,Winter,-6.45 
234,1958,Spring,7.11 
235,1958,Summer,18.83 
236,1958,Autumn,9.32 
237,1959,Winter,-4.58 
238,1959,Spring,7.66 
239,1959,Summer,20.27 
240,1959,Autumn,10.30 
241,1960,Winter,-4.21 
242,1960,Spring,6.52 
243,1960,Summer,19.31 
244,1960,Autumn,9.64 
245,1961,Winter,-5.38 
246,1961,Spring,6.06 
247,1961,Summer,19.69 
248,1961,Autumn,11.40 
249,1962,Winter,-5.89 
250,1962,Spring,7.02 
251,1962,Summer,18.88 
252,1962,Autumn,8.36 
253,1963,Winter,-7.04 
254,1963,Spring,6.79 
255,1963,Summer,19.56 
256,1963,Autumn,10.46 
257,1964,Winter,-4.36 
258,1964,Spring,7.53 
259,1964,Summer,18.76 
260,1964,Autumn,9.02 
261,1965,Winter,-4.70 
262,1965,Spring,6.74 
263,1965,Summer,19.07 
264,1965,Autumn,8.87 
265,1966,Winter,-4.32 
266,1966,Spring,6.11 
267,1966,Summer,19.92 
268,1966,Autumn,9.37 
269,1967,Winter,-3.95 
270,1967,Spring,4.37 
271,1967,Summer,20.29 
272,1967,Autumn,8.67 
273,1968,Winter,-6.69 
274,1968,Spring,7.59 
275,1968,Summer,19.42 
276,1968,Autumn,9.90 
277,1969,Winter,-4.61 
278,1969,Spring,6.80 
279,1969,Summer,19.98 
280,1969,Autumn,9.70 
281,1970,Winter,-6.65 
282,1970,Spring,6.91 
283,1970,Summer,20.15 
284,1970,Autumn,10.39 
285,1971,Winter,-5.10 
286,1971,Spring,5.80 
287,1971,Summer,19.87 
288,1971,Autumn,10.60 
289,1972,Winter,-4.29 
290,1972,Spring,5.60 
291,1972,Summer,19.30 
292,1972,Autumn,8.15 
293,1973,Winter,-3.06 
294,1973,Spring,8.16 
295,1973,Summer,21.13 
296,1973,Autumn,9.65 
297,1974,Winter,-3.64 
298,1974,Spring,6.89 
299,1974,Summer,19.61 
300,1974,Autumn,8.60 
301,1975,Winter,-3.73 
302,1975,Spring,6.62 
303,1975,Summer,20.14 
304,1975,Autumn,10.39 
305,1976,Winter,-5.52 
306,1976,Spring,7.83 
307,1976,Summer,20.00 
308,1976,Autumn,7.78 
309,1977,Winter,-6.27 
310,1977,Spring,8.76 
311,1977,Summer,19.31 
312,1977,Autumn,9.70 
313,1978,Winter,-5.84 
314,1978,Spring,6.08 
315,1978,Summer,19.57 
316,1978,Autumn,8.48 
317,1979,Winter,-4.90 
318,1979,Spring,8.15 
319,1979,Summer,19.86 
320,1979,Autumn,10.16 
321,1980,Winter,-5.54 
322,1980,Spring,7.19 
323,1980,Summer,19.85 
324,1980,Autumn,8.65 
325,1981,Winter,-4.61 
326,1981,Spring,8.09 
