"","City","lat","long"
"181","Pueblo",37.78,-103.73
"182","Raleigh",36.17,-79.56
"183","Rancho Cucamonga",34.56,-116.76
"184","Reno",39.38,-120.69
"185","Rialto",34.56,-116.76
"186","Richardson",32.95,-96.7
"187","Richmond",37.78,-122.03
"188","Richmond",37.78,-77.29
"189","Riverside",34.56,-116.76
"190","Rochester",42.59,-78.55
"191","Rockford",42.59,-89.45
"192","Roseville",39.38,-120.69
"193","Sacramento",37.78,-122.03
"194","Saint Louis",39.38,-89.48
"195","Saint Paul",45.81,-93.46
"196","Saint Petersburg",28.13,-82.73
"197","Salem",44.2,-122.98
"198","Salinas",36.17,-121.33
"199","Salt Lake City",40.99,-112.9
"200","San Antonio",29.74,-97.85
"201","San Bernardino",34.56,-116.76
"202","San Diego",32.95,-117.77
"203","San Francisco",37.78,-122.03
"204","San Jose",37.78,-122.03
"205","Santa Ana",32.95,-117.77
"206","Santa Clara",37.78,-122.03
"207","Santa Clarita",34.56,-118.7
"208","Santa Rosa",37.78,-122.03
"209","Savannah",31.35,-81.05
"210","Scottsdale",32.95,-112.02
"211","Seattle",47.42,-121.97
"212","Shreveport",32.95,-92.87
"213","Simi Valley",34.56,-118.7
"214","Sioux Falls",44.2,-96.15
"215","South Bend",40.99,-85.21
"216","Spokane",47.42,-117.24
"217","Spring Valley",36.17,-115.36
"218","Springfield",37.78,-93.56
"219","Springfield",39.38,-89.48
"220","Springfield",42.59,-72
"221","Stamford",40.99,-74.56
"222","Sterling Heights",42.59,-82.91
"223","Stockton",37.78,-122.03
"224","Sunnyvale",37.78,-122.03
"225","Sunrise Manor",36.17,-115.36
"226","Syracuse",42.59,-76.36
"227","Tacoma",47.42,-121.97
"228","Tallahassee",29.74,-84.92
"229","Tampa",28.13,-82.73
"230","Tempe",32.95,-112.02
"231","Thornton",39.38,-104.05
"232","Thousand Oaks",34.56,-118.7
"233","Toledo",40.99,-83.08
"234","Toms River",39.38,-74.91
"235","Topeka",39.38,-95.72
"236","Torrance",34.56,-118.7
"237","Tucson",31.35,-111.2
"238","Tulsa",36.17,-95.47
"239","Vallejo",37.78,-122.03
"240","Vancouver",45.81,-123.46
"241","Virginia Beach",36.17,-75.58
"242","Visalia",36.17,-119.34
"243","Waco",31.35,-98.01
"244","Warren",42.59,-82.91
"245","Washington",39.38,-76.99
"246","Waterbury",40.99,-72.43
"247","West Covina",34.56,-118.7
"248","West Jordan",40.99,-112.9
"249","West Valley City",40.99,-112.9
"250","Westminster",39.38,-104.05
"251","Wichita",37.78,-97.63
"252","Wichita Falls",34.56,-99.24
"253","Windsor",42.59,-82.91
"254","Winston Salem",36.17,-79.56
"255","Worcester",42.59,-72
"256","Yonkers",40.99,-74.56
