,year,month,temp
122,1910,2,4.25 
123,1910,3,12.33 
124,1910,4,14.39 
125,1910,5,17.41 
126,1910,6,21.03 
127,1910,7,24.28 
128,1910,8,23.40 
129,1910,9,21.20 
130,1910,10,16.20 
131,1910,11,9.20 
132,1910,12,4.52 
133,1911,1,6.15 
134,1911,2,6.01 
135,1911,3,10.02 
136,1911,4,12.67 
137,1911,5,18.28 
138,1911,6,22.32 
139,1911,7,24.00 
140,1911,8,23.37 
141,1911,9,21.25 
142,1911,10,15.11 
143,1911,11,8.55 
144,1911,12,5.60 
145,1912,1,2.06 
146,1912,2,4.23 
147,1912,3,6.90 
148,1912,4,12.85 
149,1912,5,18.05 
150,1912,6,20.91 
151,1912,7,23.64 
152,1912,8,22.75 
153,1912,9,20.49 
154,1912,10,15.23 
155,1912,11,9.95 
156,1912,12,5.60 
157,1913,1,5.31 
158,1913,2,4.41 
159,1913,3,8.83 
160,1913,4,13.24 
161,1913,5,17.59 
162,1913,6,21.31 
163,1913,7,24.21 
164,1913,8,24.26 
165,1913,9,20.39 
166,1913,10,14.99 
167,1913,11,11.29 
168,1913,12,5.80 
169,1914,1,5.99 
170,1914,2,4.10 
171,1914,3,8.91 
172,1914,4,13.32 
173,1914,5,18.03 
174,1914,6,22.18 
175,1914,7,24.00 
176,1914,8,23.53 
177,1914,9,20.25 
178,1914,10,16.09 
179,1914,11,10.68 
180,1914,12,3.05 
181,1915,1,3.86 
182,1915,2,6.66 
183,1915,3,7.21 
184,1915,4,14.40 
185,1915,5,16.73 
186,1915,6,21.05 
187,1915,7,23.35 
188,1915,8,22.88 
189,1915,9,20.84 
190,1915,10,16.10 
191,1915,11,10.60 
192,1915,12,5.24 
193,1916,1,4.90 
194,1916,2,5.66 
195,1916,3,9.24 
