,year,season,temp
242,1960,Spring,12.97 
243,1960,Summer,23.64 
244,1960,Autumn,16.06 
245,1961,Winter,5.36 
246,1961,Spring,13.24 
247,1961,Summer,23.48 
248,1961,Autumn,15.52 
249,1962,Winter,4.89 
250,1962,Spring,13.50 
251,1962,Summer,23.13 
252,1962,Autumn,15.64 
253,1963,Winter,3.47 
254,1963,Spring,13.94 
255,1963,Summer,23.21 
256,1963,Autumn,16.64 
257,1964,Winter,5.11 
258,1964,Spring,13.50 
259,1964,Summer,23.26 
260,1964,Autumn,15.49 
261,1965,Winter,5.67 
262,1965,Spring,13.14 
263,1965,Summer,22.73 
264,1965,Autumn,15.84 
265,1966,Winter,4.35 
266,1966,Spring,13.66 
267,1966,Summer,23.46 
268,1966,Autumn,15.51 
269,1967,Winter,5.54 
270,1967,Spring,13.31 
271,1967,Summer,23.06 
272,1967,Autumn,15.36 
273,1968,Winter,4.38 
274,1968,Spring,13.64 
275,1968,Summer,23.25 
276,1968,Autumn,15.49 
277,1969,Winter,5.05 
278,1969,Spring,13.20 
279,1969,Summer,23.56 
280,1969,Autumn,15.27 
281,1970,Winter,5.03 
282,1970,Spring,13.41 
283,1970,Summer,23.66 
284,1970,Autumn,15.51 
285,1971,Winter,5.46 
286,1971,Spring,12.65 
287,1971,Summer,23.41 
288,1971,Autumn,15.90 
289,1972,Winter,5.17 
290,1972,Spring,14.08 
291,1972,Summer,23.24 
292,1972,Autumn,14.74 
293,1973,Winter,5.23 
294,1973,Spring,13.64 
295,1973,Summer,23.63 
296,1973,Autumn,16.08 
297,1974,Winter,5.67 
298,1974,Spring,14.28 
299,1974,Summer,23.21 
300,1974,Autumn,15.16 
301,1975,Winter,5.91 
302,1975,Spring,12.73 
303,1975,Summer,23.20 
304,1975,Autumn,15.62 
305,1976,Winter,5.58 
306,1976,Spring,13.79 
307,1976,Summer,22.99 
308,1976,Autumn,14.26 
309,1977,Winter,4.43 
310,1977,Spring,14.39 
311,1977,Summer,23.87 
312,1977,Autumn,16.05 
313,1978,Winter,3.43 
314,1978,Spring,13.52 
315,1978,Summer,23.71 
316,1978,Autumn,15.94 
317,1979,Winter,3.80 
318,1979,Spring,13.71 
319,1979,Summer,23.17 
320,1979,Autumn,15.82 
321,1980,Winter,5.57 
322,1980,Spring,13.21 
323,1980,Summer,24.06 
324,1980,Autumn,15.61 
325,1981,Winter,5.68 
326,1981,Spring,14.12 
327,1981,Summer,24.13 
328,1981,Autumn,15.48 
329,1982,Winter,5.22 
330,1982,Spring,13.59 
331,1982,Summer,22.96 
332,1982,Autumn,15.45 
333,1983,Winter,5.06 
334,1983,Spring,12.82 
335,1983,Summer,23.81 
336,1983,Autumn,16.23 
337,1984,Winter,6.05 
338,1984,Spring,13.42 
339,1984,Summer,23.77 
340,1984,Autumn,15.54 
341,1985,Winter,3.70 
342,1985,Spring,14.71 
343,1985,Summer,23.55 
344,1985,Autumn,15.66 
345,1986,Winter,6.38 
346,1986,Spring,14.71 
347,1986,Summer,23.68 
348,1986,Autumn,15.53 
349,1987,Winter,5.66 
350,1987,Spring,14.48 
351,1987,Summer,23.72 
352,1987,Autumn,15.67 
353,1988,Winter,4.94 
354,1988,Spring,13.97 
355,1988,Summer,24.12 
356,1988,Autumn,15.62 
357,1989,Winter,4.41 
358,1989,Spring,14.32 
359,1989,Summer,23.38 
360,1989,Autumn,15.68 
361,1990,Winter,6.66 
362,1990,Spring,14.22 
363,1990,Summer,23.85 
364,1990,Autumn,16.52 
365,1991,Winter,6.55 
366,1991,Spring,14.48 
367,1991,Summer,23.62 
368,1991,Autumn,15.70 
369,1992,Winter,6.31 
370,1992,Spring,14.22 
371,1992,Summer,22.88 
372,1992,Autumn,15.53 
373,1993,Winter,5.25 
374,1993,Spring,13.68 
375,1993,Summer,23.73 
376,1993,Autumn,15.10 
377,1994,Winter,5.28 
378,1994,Spring,14.21 
379,1994,Summer,24.04 
380,1994,Autumn,15.70 
381,1995,Winter,6.03 
382,1995,Spring,13.62 
383,1995,Summer,23.99 
384,1995,Autumn,15.94 
385,1996,Winter,5.99 
386,1996,Spring,13.72 
387,1996,Summer,23.97 
388,1996,Autumn,15.19 
389,1997,Winter,5.83 
390,1997,Spring,14.12 
391,1997,Summer,23.47 
392,1997,Autumn,15.74 
393,1998,Winter,7.09 
394,1998,Spring,13.86 
395,1998,Summer,24.24 
396,1998,Autumn,16.62 
397,1999,Winter,6.88 
398,1999,Spring,13.63 
399,1999,Summer,23.86 
400,1999,Autumn,16.67 
401,2000,Winter,5.85 
402,2000,Spring,15.09 
403,2000,Summer,23.90 
404,2000,Autumn,15.28 
405,2001,Winter,5.94 
406,2001,Spring,14.36 
407,2001,Summer,24.09 
408,2001,Autumn,16.54 
409,2002,Winter,6.46 
410,2002,Spring,14.04 
411,2002,Summer,24.37 
412,2002,Autumn,15.92 
413,2003,Winter,5.51 
414,2003,Spring,14.08 
415,2003,Summer,24.13 
416,2003,Autumn,16.39 
417,2004,Winter,5.23 
418,2004,Spring,15.45 
419,2004,Summer,23.31 
420,2004,Autumn,16.18 
421,2005,Winter,6.10 
422,2005,Spring,13.66 
423,2005,Summer,24.40 
424,2005,Autumn,16.73 
425,2006,Winter,7.31 
426,2006,Spring,14.49 
427,2006,Summer,24.75 
428,2006,Autumn,15.70 
429,2007,Winter,5.23 
430,2007,Spring,14.79 
431,2007,Summer,24.29 
432,2007,Autumn,16.72 
433,2008,Winter,5.48 
434,2008,Spring,13.86 
435,2008,Summer,24.21 
436,2008,Autumn,16.14 
437,2009,Winter,5.38 
438,2009,Spring,14.38 
439,2009,Summer,23.67 
440,2009,Autumn,16.05 
441,2010,Winter,4.62 
442,2010,Spring,14.29 
443,2010,Summer,24.60 
444,2010,Autumn,16.27 
445,2011,Winter,5.46 
446,2011,Spring,14.23 
447,2011,Summer,24.70 
448,2011,Autumn,16.28 
449,2012,Winter,7.33 
450,2012,Spring,16.04 
451,2012,Summer,24.56 
452,2012,Autumn,16.20 
453,2013,Winter,5.76 
454,2013,Spring,13.89 
455,2013,Summer,24.13 
